Timestamp In / Out,Primary State,Dominant Athlete,Substate,Exit Action,Subaction,Action Instigator,Points,Adv/Pen, Next State,Match ID,Name A,Group A,Name B,Group B,Belt,Age,Weight Class,Win
4:00/3:57,St,N,,DGP,,N,,,50-50,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:57/3:53,50-50,N,,Reset,,N,,-1/-1,St,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:53/3:50,St,N,,DGP,,N,,,50-50,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:50/3:38,50-50,N,,Reset,,N,,-1/1,St,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:38/3:27,St,N,,DGP,,N,,-1/1,50-50,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:27/3:03,50-50,N,,Reset,,N,,-1/-1,St,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:03/3:02,St,N,,DGP,,N,,,CG,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
3:02/2:23,CG,A,,BTake,,A,4,,BM,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
2:23/0:00,BM,A,,Time,,N,,,End,1,Eymen Agah Saygili,Northern Tribe,Tomás Santos Esteves,AOJ,Grey,11,Light,A
4:00/3:55,St,N,,DGPull,,N,,,50-50,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
3:55/3:23,50-50,N,,Scr,,A,,,HG,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
3:23/2:36,HG,A,,GPass,,A,3,,SC,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
2:26/2:02,SC,A,,S-Failed,AB-Failed,B,,,OG,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
2:02/1:50,OG,B,,Sweep,,A,2,,FM,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
1:50/0:55,FM,A,,BTake,,A,4,,BM,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
0:55/0:46,BM,A,,Sub,BowA,A,,,End,2,Eymen Agah Saygili,Northern Tribe,Nelson James Cox,YType BJJ,Grey,11,Light,A
4:00/3:40,St,N,,GPull,,B,,,CG,3,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Tomás Santos Esteves,AOJ,Grey,11,Light,B
3:40/3:00,CG,B,,GBreak,Standing,B,,,OG,3,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Tomás Santos Esteves,AOJ,Grey,11,Light,B
3:00/2:48,OG,B,,DGP,,N,,,50-50,3,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Tomás Santos Esteves,AOJ,Grey,11,Light,B
2:48/2:35,50-50,N,,Sweep,,B,2,,HG,3,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Tomás Santos Esteves,AOJ,Grey,11,Light,B
